クエストID,クエスト名,ワールド名上段,ワールド名下段,依頼主,クエスト内容１,クエスト内容2,クエスト内容3,クエスト内容4,クエスト内容5,クエスト内容6,クエスト内容7,受注制限,難易度,成功報酬,失敗報酬,備考1,備考2,備考3,分類タグ,PC対応,android対応
0010,Eランク昇級試験,,,0,冒険者ギルドアトラス,Eランク昇級試験,剣術講習で身に着けた,内容の総復習となります。,試験官の指示どおりの型を振る。,もしくは試験官の振った,型を答えること。,剣術講習を全て受講済みであること。,,★★☆☆☆P,0P,TRUE,Eランクへの昇級試験,,昇級,☐,☑
0073,Eランク昇格申請,くださいですの～。,,0,ギルドマスター,皆さん日々のクエスト遂行おつかれですの。,冒険者PTをたくさん溜めてくださった,冒険者さんにお知らせですの！,この度累計冒険者PTが50PTになった方を,Eランクに昇格することになりましたの。,総合窓口にこのクエストを持ってきて,累計冒険者ＰＴが50ＰＴ以上,,★☆☆☆☆P,0P,TRUE,累計冒険者PTが不明な場合も,総合窓口で確認してね！,昇級,☐,☑
0081,Dランク昇格申請,,,0,総合窓口職員,Eランクに上がってからもたくさんの,クエストをこなしてくれてありがとう！,たくさんの実績を残してくれた冒険者は,ついにDランクにランクアップできるよ。,現状のポイントを確認して窓口に来てね。,,累計冒険者ＰＴが125ＰＴ以上,,★☆☆☆☆P,0P,TRUE,累計冒険者PTが不明な場合も,総合窓口で確認してね！,昇級,☐,☑
0050,めいすたーずにようこそ,グループ名：めいすたーずファンクラブ,めいすたーずイベント会場,0,もみーちゃん,毎週金曜日にめいすたーずのイベント,やってるもみよ！,みんな遊びに来てほしいもみよ～,,21:00～　ダンス練習(見学可),22:00～　めいすたーずカフェ,特になし,,★☆☆☆☆P,20P,FALSE,楽しく遊んできたお写真をXに投稿してね,ハッシュタグ：#クエスト報告_アトラス,イベント,☐,☑
0036,お願いがありますの！,,,10,陸野こがね,冒険者の皆様にお願いがありますの,定期的にアトラスで配信をしているのだけど,是非皆様にもアトラスにきてほしいですの！,もっとアトラスを盛り上げるために,協力をよろしくお願いしますわ！,,特になし(期間限定),,★☆☆☆☆P,10P,FALSE,共有ボタンを押してXにポストしてね,コメントなどしてくれたらギルマスから,調査,☐,☐
0064,どうしてもほしいの！！,へしおれるくらいとってきてほしい！！！,,0,お小遣いを使い切った女の子,どうしても牛さんがほしかったのに,おこづかいぜーんぶ使いきっても,ぜんぜんとれなかったの！,近所の男の子にもじまんされてくやしい！！,くやしいからかわりに牛さんとってきて！,あいつのてんぐ？になってるはなを,Eランク以上,E,★☆☆☆☆P,6P,FALSE,VR推奨,1000pt以上獲得,採取,☐,☑
0060,旅人の忘れ物,,,0,名無しの旅人,この前とある海辺の大図書館に旅に,行った際ゴーグルを忘れて来てしまった。,また今度遊びに行くと大図書館にいる,二足歩行の猫に伝えていてその際に取りに,行くから見つけたら彼に預けておいて,くれないかい？よろしく頼むよ！,特になし,,★☆☆☆☆P,5P,FALSE,特になし,,採取,☐,☑
0083,爆弾魔の犯行阻止,安全に爆弾を解体してほしい。,Killer in The Crowd,0,地元の警察官,地元のメディアに爆破予告文が送られた。,どうやら犯人はビルを爆破するのが目的で,実行されると大勢の犠牲者がでてしまう。,私達は顔が割れておりビルに接近ができない,そこで、君たち冒険者の手を借りたい。,時間は３０分しかないので速やかにかつ,Eランク以,E,★★☆☆☆P,0P,TRUE,ワールド定員８名,,討伐,☐,☑
0005,娘のお気に入り,,A Simple,0,壮年の村人,娘が池の近くで遊んでいた時に長靴を,落としてしまったみたいなんです。,気に入っていたものだったので,池から回収できないでしょうか？,,,特になし,,★☆☆☆☆P,5P,TRUE,推奨人数：1人,黄色い靴を釣り上げ写真撮影,採取,☐,☑
0006,眠らずの死者,,,0,パンデミックが起きた街の住人,ゾンビ共が町を我が物顔で,うろついてやがる！もううんざりだ！,やつらをできるだけ多く,黙らせてくれよ！！,,,特になし,,★★☆☆☆P,5P,TRUE,推奨人数：4人,最低でも10ラウンド生存する,討伐,☐,☑
0089,仲間を探すのに使ってみろ,相性を調べ写真を撮っておくと良いぞ！,,0,魔王系受付嬢,貴様等は仲間を探す時はどうしている？,戦闘力を重視するのか？,それとも戦略を重視しているのか？,そんなものじゃ本当の仲間は得られんぞ,結局は互いの相性が合わなければ,いつの日か決別することになるんだ,特になし,F,★☆☆☆☆P,5P,TRUE,特になし,,調査,☐,☑
0080,サマーフレア作戦,,PROJECT:,5,夏を壊したいオペレーター,私達はサマーフレア作戦を実行中です。,冒険者の方には現地に赴いてもらい,施設の初期化を行ってもらいたいのです。,ついででよろしいのですが,狂気を打ち払う剣と似た別の剣の記録を,していただければ私達としても助かります。,Eランク以上,E,★★☆☆☆P,31P,FALSE,推奨人数2～,2時間程度を想定しています。,討伐,☐,☑
0029,希少な鉱石の採掘,希少な鉱石（紫）を採って来てほしい,,0,鍛治職人のマルク,わしの名前は鍛冶職人のマルクじゃ！,ありとあらゆるものを作ってきた,わしは通常の鉱石で作れる物を作るのには,飽きたんじゃ！たまには,気分転換にレア素材で物を作りたい！,そこでだお前さんたちには洞窟に行き,条件なし,,★☆☆☆☆P,5P,FALSE,特になし,,採取,☐,☑
